Country,OECD,Region,GDP per capita,Maths Score,Reading Score,Science Score,Teachers' salaries,Certified teachers (%),Teachers with secondary education (%),Reflect on problem,Own procedure,Learn from mistakes,Explain solution,Cognitive Activation Index,School Climate
Romania,no,Europe,8558.4,445,438,439,44,99.4,95.9,68,46,67,74,63.75,45.8
Colombia,no,Americas,7885.1,376,403,399,165,10,90.8,61,52,72,74,64.75,35.92
Bulgaria,no,Europe,7378,439,436,446,95,,,83,59,72,80,73.5,58.98
Montenegro,no,Europe,6586.8,410,422,410,155,96.1,89,53,48,67,71,59.75,39.45
Peru,no,Americas,6386.4,368,384,373,92,89.1,77.3,66,55,75,75,67.75,52.81
Thailand,no,Asia,5915.2,427,441,444,124,93.7,99.2,46,49,70,69,58.5,34.08
Serbia,no,Europe,5659.4,449,446,445,,91.1,6.8,57,51,57,66,57.75,41.84
Jordan,no,Middle East & Africa,4423.1,386,399,409,215,73.7,84.8,82,66,79,80,76.75,35.44
Albania,no,Europe,4247.8,394,394,397,,93.9,83.9,81,46,88,90,76.25,35.28
Tunisia,no,Middle East & Africa,4179.5,388,404,398,188,56.9,87.3,54,46,61,63,56,51.79
Indonesia,no,Asia,3700.5,375,396,382,47,60.2,82.1,84,42,86,77,72.25,26.96
Vietnam,no,Asia,1754.5,511,508,528,,78.5,87.2,67,23,70,64,56,16.24
